Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
50000,4.1657286,1.6544522,1202.35,1.074999986588955,1.074999986588955,0.64845234,0.025297368,0.00029922923,0.19974306,0.00049874105,1.0
100000,4.14069,1.1180347,1202.3333333333333,0.24523805862381345,0.24523805862381345,1.9082782,0.025528302,0.00029784118,0.19928041,0.000496474,1.0
150000,4.0942874,0.7105742,1202.3333333333333,1.4904761442116328,1.4904761442116328,0.292184,0.026425544,0.00029630208,0.19876738,0.0004939601,1.0
200000,4.0368595,0.22313498,1202.3333333333333,1.8547618687152863,1.8547618687152863,0.25086328,0.02573065,0.0002947633,0.19825444,0.0004914467,1.0
250000,3.948953,0.16903338,1202.35,1.2874999836087226,1.2874999836087226,0.50663906,0.026565945,0.00029322266,0.19774088,0.00048893044,1.0
300000,3.9696937,0.30001444,1202.3333333333333,-2.719047642889477,-2.719047642889477,7.104865,0.025174702,0.00029168132,0.1972271,0.00048641278,1.0
350000,3.8924103,0.38186777,1202.3333333333333,-2.2190477408113933,-2.2190477408113933,4.2156267,0.024074212,0.0002901387,0.1967129,0.00048389318,1.0
400000,3.9875102,0.34762132,1202.3333333333333,-2.080952388899667,-2.080952388899667,2.6807847,0.02522761,0.0002887535,0.19625115,0.00048163065,1.0
450000,3.962678,0.31249696,1202.3333333333333,-3.114634185302548,-3.114634185302548,4.3865123,0.025178183,0.00028736686,0.19578893,0.0004793658,1.0
500000,3.990685,0.16150182,1202.35,-1.0195122317570011,-1.0195122317570011,3.8426437,0.023202792,0.0002858256,0.19527519,0.00047684842,1.0
550000,3.9313972,0.21705091,1202.3333333333333,-6.302381159294219,-6.302381159294219,10.782072,0.026516402,0.0002842828,0.19476095,0.00047432855,1.0
600000,3.8807945,0.12688024,1202.3333333333333,-6.897619159448714,-6.897619159448714,12.196543,0.024439508,0.00028274156,0.1942472,0.00047181122,1.0
650000,3.8119893,0.23955202,1202.3333333333333,-7.880952399401438,-7.880952399401438,13.660177,0.024017597,0.00028120095,0.19373366,0.00046929484,1.0
700000,3.7725253,0.24924178,1202.3,-7.437499956786633,-7.437499956786633,14.31925,0.022697758,0.0002796612,0.1932204,0.00046677995,1.0
750000,3.718226,0.14842215,1202.3333333333333,-17.4476192678724,-17.4476192678724,34.34142,0.023707395,0.00027811923,0.19270639,0.00046426142,1.0
